"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"42597","32","text","0","42603","0.0-0.0","","21221","1480980625358","","","","","","","","","","","","","",""
"106324","32","text","1","149236","0.0-1.0","","21221","1480980625358","","","","","","","","","","","","","",""
"4946","32","text","2","154487","0.0-2.0","","21221","1480980625358","","","","","","","","","","","","","",""
"47838","32","text","3","202627","0.0-3.0","","21221","1480980625358","","","","","","","","","","","","","",""
"36185","32","text","4","239118","0.0-4.0","","21221","1480980625358","","","","","","","","","","","","","",""
"230138","32","text","5","469561","0.0-5.0","","21221","1480980625358","","","","","","","","","","","","","",""
"141682","","singlestim-multislider","6","611587","0.0-6.0-0.0","","21221","1480980625358","0","73","27","","","","","","","","","","",""
"61113","","survey-text","7","673006","0.0-7.0","","21221","1480980625358","","","","{""Q0"":""B- the computer chooses singles that are either complete opposites, or answered the same ""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"6311","","survey-multi-choice","8","679624","0.0-8.0","","21221","1480980625358","","","","{""Q0"":""agree""}","","","","","","","","","",""
"51717","","singlestim-multislider","9","731648","0.0-9.0-35.0","","21221","1480980625358","0","55","45","","","1","12","9","7","5","NA","NA","NA","1"
"23380","","singlestim-multislider","10","755339","0.0-9.0-38.0","","21221","1480980625358","1","46","54","","","1","12","9","7","5","NA","NA","NA","1"
"15197","","singlestim-multislider","11","770846","0.0-9.0-32.0","","21221","1480980625358","1","36","65","","","1","12","9","7","5","NA","NA","NA","1"
"19084","","singlestim-multislider","12","790241","0.0-9.0-36.0","","21221","1480980625358","0","70","30","","","1","12","9","7","5","NA","NA","NA","1"
"27989","","singlestim-multislider","13","818540","0.0-9.0-31.0","","21221","1480980625358","0","100","0","","","0","12","9","7","5","0.8","0.8","1","1"
"20537","","singlestim-multislider","14","839383","0.0-9.0-41.0","","21221","1480980625358","0","57","43","","","1","12","9","7","5","NA","NA","NA","1"
"14932","","singlestim-multislider","15","854623","0.0-9.0-39.0","","21221","1480980625358","0","80","20","","","1","12","9","7","5","NA","NA","NA","1"
