"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","sonaID","ExpEndTime","clicks","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir"
"[{""page_index"":0,""viewing_time"":11831},{""page_index"":1,""viewing_time"":37158},{""page_index"":2,""viewing_time"":10366}]","59355","instructions","0","59357","0.0-0.0","36122","1539202489785","","","","","","","","","","",""
"","54062","darkroom","1","113421","0.0-1.0-0.0","36122","1539202489785","[""clickable-R0-X6-Y3"",""clickable-R0-X5-Y3"",""clickable-R0-X4-Y5"",""clickable-R0-X6-Y4"",""clickable-R0-X3-Y3"",""clickable-R0-X4-Y2"",""clickable-R0-X5-Y2"",""clickable-R0-X4-Y3"",""clickable-R0-X3-Y4"",""clickable-R1-X2-Y3"",""clickable-R1-X3-Y4"",""clickable-R1-X3-Y3"",""clickable-R1-X4-Y4"",""clickable-R1-X2-Y5"",""clickable-R1-X3-Y5"",""clickable-R1-X4-Y5"",""clickable-R1-X5-Y5"",""clickable-R1-X5-Y4"",""clickable-R1-X5-Y3"",""clickable-R1-X4-Y1"",""clickable-R1-X6-Y2"",""clickable-R1-X4-Y2"",""clickable-R1-X4-Y3"",""clickable-R1-X5-Y2"",""clickable-R1-X6-Y3"",""clickable-R1-X6-Y4"",""clickable-R1-X7-Y3"",""clickable-R1-X7-Y2"",""clickable-R1-X7-Y1"",""clickable-R1-X6-Y1"",""clickable-R1-X6-Y0"",""clickable-R1-X3-Y0"",""clickable-R1-X2-Y1"",""clickable-R1-X1-Y3"",""clickable-R1-X1-Y4"",""clickable-R1-X2-Y6"",""clickable-R1-X4-Y6"",""clickable-R1-X5-Y6"",""clickable-R1-X6-Y6"",""clickable-R1-X3-Y1"",""clickable-R1-X3-Y2"",""clickable-R1-X2-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X6-Y5"",""clickable-R0-X5-Y6"",""clickable-R0-X2-Y4"",""clickable-R0-X5-Y4"",""clickable-R0-X5-Y5"",""clickable-R0-X6-Y6"",""clickable-R0-X7-Y7"",""clickable-R0-X5-Y7"",""clickable-R0-X4-Y7"",""clickable-R0-X2-Y6"",""clickable-R0-X2-Y5"",""clickable-R0-X2-Y3"",""clickable-R0-X3-Y2"",""clickable-R0-X0-Y2"",""clickable-R0-X0-Y4"",""clickable-R0-X0-Y5"",""clickable-R0-X1-Y2"",""clickable-R0-X3-Y1"",""clickable-R0-X3-Y1""]","true","[3,1]","[3,0]","8","8","1","200000","5000","1000","2"
"","37365","darkroom","2","150788","0.0-1.0-1.0","36122","1539202489785","[""clickable-R0-X4-Y6"",""clickable-R0-X5-Y7"",""clickable-R0-X2-Y5"",""clickable-R0-X3-Y3"",""clickable-R0-X2-Y2"",""clickable-R0-X3-Y2"",""clickable-R0-X1-Y1"",""clickable-R0-X2-Y1"",""clickable-R0-X0-Y1"",""clickable-R0-X7-Y1"",""clickable-R0-X5-Y4"",""clickable-R0-X5-Y2"",""clickable-R0-X6-Y2"",""clickable-R0-X6-Y0"",""clickable-R0-X2-Y6"",""clickable-R0-X1-Y6"",""clickable-R1-X2-Y4"",""clickable-R1-X2-Y2"",""clickable-R1-X5-Y2"",""clickable-R1-X6-Y2"",""clickable-R1-X5-Y1"",""clickable-R1-X3-Y1"",""clickable-R1-X4-Y3"",""clickable-R1-X5-Y3"",""clickable-R1-X5-Y5"",""clickable-R1-X3-Y6"",""clickable-R1-X2-Y6"",""clickable-R1-X7-Y6"",""clickable-R1-X5-Y6"",""clickable-R1-X4-Y7"",""clickable-R1-X1-Y6"",""clickable-R1-X1-Y3"",""clickable-R1-X0-Y1"",""clickable-R1-X1-Y0"",""clickable-R1-X1-Y2"",""clickable-R0-X7-Y3"",""clickable-R0-X6-Y5"",""clickable-R0-X7-Y6"",""clickable-R0-X7-Y7"",""clickable-R0-X6-Y6"",""clickable-R0-X5-Y6"",""clickable-R0-X3-Y4"",""clickable-R0-X2-Y4"",""clickable-R0-X1-Y4"",""clickable-R0-X1-Y3"",""clickable-R0-X2-Y3"",""clickable-R0-X0-Y3"",""clickable-R0-X3-Y0"",""clickable-R0-X0-Y0"",""clickable-R0-X0-Y7"",""clickable-R0-X7-Y0"",""clickable-R1-X0-Y0"",""clickable-R1-X6-Y0"",""clickable-R1-X7-Y0"",""clickable-R1-X7-Y7"",""clickable-R1-X0-Y7"",""clickable-R0-X3-Y7"",""clickable-R0-X2-Y7"",""clickable-R0-X4-Y4"",""clickable-R0-X4-Y5""]","true","[2,0]","[3,1]","8","8","1","200000","5000","1000","2"
"","37277","darkroom","3","188068","0.0-1.0-2.0","36122","1539202489785","[""clickable-R0-X3-Y7"",""clickable-R0-X4-Y4"",""clickable-R0-X2-Y3"",""clickable-R0-X6-Y2"",""clickable-R0-X6-Y3"",""clickable-R0-X5-Y6"",""clickable-R0-X4-Y5"",""clickable-R0-X2-Y5"",""clickable-R0-X4-Y1"",""clickable-R0-X3-Y0"",""clickable-R0-X1-Y1"",""clickable-R1-X5-Y3"",""clickable-R1-X4-Y2"",""clickable-R1-X2-Y4"",""clickable-R1-X2-Y5"",""clickable-R1-X5-Y6"",""clickable-R1-X6-Y4"",""clickable-R1-X5-Y4"",""clickable-R1-X3-Y3"",""clickable-R1-X2-Y2"",""clickable-R1-X2-Y1"",""clickable-R1-X4-Y1"",""clickable-R1-X7-Y1"",""clickable-R1-X7-Y3"",""clickable-R1-X7-Y6"",""clickable-R1-X4-Y6"",""clickable-R1-X3-Y6"",""clickable-R1-X1-Y7"",""clickable-R1-X1-Y4"",""clickable-R1-X0-Y2"",""clickable-R1-X2-Y0"",""clickable-R1-X4-Y0"",""clickable-R1-X5-Y0"",""clickable-R1-X5-Y1"",""clickable-R0-X7-Y3"",""clickable-R0-X7-Y5"",""clickable-R0-X6-Y5"",""clickable-R0-X5-Y4"",""clickable-R0-X3-Y3"",""clickable-R0-X5-Y3"",""clickable-R0-X3-Y5"",""clickable-R0-X1-Y7"",""clickable-R0-X1-Y4"",""clickable-R0-X1-Y3"",""clickable-R0-X0-Y2"",""clickable-R0-X0-Y1"",""clickable-R0-X1-Y0"",""clickable-R0-X3-Y2"",""clickable-R0-X4-Y2"",""clickable-R0-X6-Y1"",""clickable-R0-X6-Y6"",""clickable-R0-X6-Y4"",""clickable-R0-X4-Y3"",""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R0-X2-Y1"",""clickable-R0-X2-Y0"",""clickable-R0-X3-Y1"",""clickable-R0-X4-Y0""]","false","[7,7]","[4,2]","8","8","1","200000","5000","1000","2"
"[{""page_index"":0,""viewing_time"":4363},{""page_index"":1,""viewing_time"":10596},{""page_index"":2,""viewing_time"":10675},{""page_index"":3,""viewing_time"":4282},{""page_index"":4,""viewing_time"":4423},{""page_index"":5,""viewing_time"":4276}]","38615","instructions","4","226683","0.0-2.0","36122","1539202489785","","","","","","","","","","",""
"","7076","darkroom","5","233760","0.0-3.0-0.0","36122","1539202489785","[""clickable-R0-X5-Y4"",""clickable-R0-X2-Y3"",""clickable-R0-X4-Y4"",""clickable-R0-X3-Y7"",""clickable-R0-X1-Y6"",""clickable-R0-X4-Y5"",""clickable-R0-X3-Y5"",""clickable-R0-X4-Y2"",""clickable-R0-X4-Y2""]","true","[4,2]","[3,3]","8","8","1","200000","5000","1000","2"
"","28939","darkroom","6","262701","0.0-3.0-1.0","36122","1539202489785","[""clickable-R0-X4-Y5"",""clickable-R0-X3-Y3"",""clickable-R0-X4-Y3"",""clickable-R0-X4-Y4"",""clickable-R0-X3-Y4"",""clickable-R0-X2-Y4"",""clickable-R0-X3-Y5"",""clickable-R0-X6-Y4"",""clickable-R0-X6-Y5"",""clickable-R0-X1-Y5"",""clickable-R0-X1-Y3"",""clickable-R0-X3-Y2"",""clickable-R0-X3-Y1"",""clickable-R0-X5-Y1"",""clickable-R0-X4-Y2"",""clickable-R0-X5-Y2"",""clickable-R0-X4-Y1"",""clickable-R0-X2-Y2"",""clickable-R0-X2-Y3"",""clickable-R0-X2-Y1"",""clickable-R0-X4-Y0"",""clickable-R0-X3-Y0"",""clickable-R0-X5-Y0"",""clickable-R0-X5-Y4"",""clickable-R0-X5-Y3"",""clickable-R0-X5-Y5"",""clickable-R0-X4-Y6"",""clickable-R0-X3-Y6"",""clickable-R0-X2-Y5"",""clickable-R0-X1-Y4"",""clickable-R0-X6-Y2"",""clickable-R0-X6-Y0"",""clickable-R0-X6-Y1"",""clickable-R0-X6-Y3"",""clickable-R0-X7-Y3"",""clickable-R0-X7-Y1"",""clickable-R0-X7-Y0"",""clickable-R0-X7-Y2"",""clickable-R0-X2-Y0"",""clickable-R0-X1-Y7""]","true","[2,7]","[3,6]","8","8","1","200000","5000","1000","2"
"","3425","darkroom","7","266127","0.0-3.0-2.0","36122","1539202489785","[""clickable-R0-X5-Y4"",""clickable-R0-X5-Y4""]","true","[5,4]","[4,3]","8","8","1","200000","5000","1000","2"
"","23893","darkroom","8","290021","0.0-3.0-3.0","36122","1539202489785","[""clickable-R0-X4-Y5"",""clickable-R0-X5-Y3"",""clickable-R0-X2-Y3"",""clickable-R0-X6-Y0"",""clickable-R0-X4-Y2"",""clickable-R0-X3-Y1"",""clickable-R0-X1-Y5"",""clickable-R0-X4-Y6"",""clickable-R0-X7-Y6"",""clickable-R0-X3-Y6"",""clickable-R0-X1-Y7"",""clickable-R0-X4-Y7"",""clickable-R0-X6-Y7"",""clickable-R0-X6-Y6"",""clickable-R0-X5-Y5"",""clickable-R0-X6-Y5"",""clickable-R1-X4-Y4"",""clickable-R1-X4-Y5"",""clickable-R1-X2-Y5"",""clickable-R1-X2-Y2"",""clickable-R1-X6-Y3"",""clickable-R1-X6-Y5"",""clickable-R1-X5-Y5"",""clickable-R1-X5-Y4"",""clickable-R1-X7-Y4"",""clickable-R1-X6-Y4"",""clickable-R1-X5-Y3"",""clickable-R1-X6-Y2"",""clickable-R0-X7-Y4"",""clickable-R0-X6-Y4"",""clickable-R0-X5-Y4"",""clickable-R0-X4-Y4"",""clickable-R0-X7-Y1"",""clickable-R0-X2-Y1"",""clickable-R0-X0-Y4"",""clickable-R0-X1-Y4"",""clickable-R0-X1-Y1"",""clickable-R0-X5-Y6"",""clickable-R0-X5-Y7"",""clickable-R0-X7-Y7"",""clickable-R0-X7-Y7""]","true","[7,7]","[6,7]","8","8","1","200000","5000","1000","2"
"","17112","darkroom","9","307134","0.0-3.0-4.0","36122","1539202489785","[""clickable-R0-X5-Y5"",""clickable-R0-X7-Y6"",""clickable-R0-X1-Y6"",""clickable-R0-X3-Y4"",""clickable-R0-X4-Y5"",""clickable-R0-X4-Y4"",""clickable-R0-X3-Y3"",""clickable-R0-X1-Y3"",""clickable-R0-X2-Y4"",""clickable-R0-X5-Y2"",""clickable-R0-X5-Y3"",""clickable-R0-X5-Y4"",""clickable-R0-X4-Y3"",""clickable-R0-X4-Y2"",""clickable-R0-X3-Y2"",""clickable-R0-X3-Y1"",""clickable-R0-X4-Y1"",""clickable-R0-X5-Y1"",""clickable-R0-X5-Y0"",""clickable-R0-X4-Y0"",""clickable-R0-X3-Y0"",""clickable-R0-X2-Y0"",""clickable-R0-X2-Y1"",""clickable-R0-X6-Y1"",""clickable-R0-X6-Y2"",""clickable-R0-X6-Y3"",""clickable-R0-X6-Y4"",""clickable-R0-X6-Y4""]","true","[6,4]","[6,4]","8","8","1","200000","5000","1000","2"
