"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"6749","32","text","0","6755","0.0-0.0","","1478648747357","","","","","","","","","","","","","",""
"15527","32","text","1","22598","0.0-1.0","","1478648747357","","","","","","","","","","","","","",""
"3321","32","text","2","26235","0.0-2.0","","1478648747357","","","","","","","","","","","","","",""
"8227","32","text","3","34773","0.0-3.0","","1478648747357","","","","","","","","","","","","","",""
"15176","32","text","4","50256","0.0-4.0","","1478648747357","","","","","","","","","","","","","",""
"6057","32","text","5","56624","0.0-5.0","","1478648747357","","","","","","","","","","","","","",""
"15513","","singlestim-multislider","6","72486","0.0-6.0-0.0","","1478648747357","0","37","64","","","","","","","","","","",""
"75474","","survey-text","7","148269","0.0-7.0","","1478648747357","","","","{""Q0"":""C, because the computer probably relies on matching answers, whereas a pro matchmaker can be more flexible in why he matches people.""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"6142","","survey-multi-choice","8","154724","0.0-8.0","","1478648747357","","","","{""Q0"":""agree""}","","","","","","","","","",""
"40526","","singlestim-multislider","9","195567","0.0-9.0-21.0","","1478648747357","1","63","37","","","0","12","9","7","5","0.8","0.6","1","1"
"54128","","singlestim-multislider","10","250010","0.0-9.0-0.0","","1478648747357","1","45","55","","","0","12","9","7","5","0.6","0.6","0.8","1"
