"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"2285","","singlestim-multislider","31","367341","0.0-9.0-29.0","","20381","1476727190858","1","61","39","","","0","12","9","7","5","0.8","0.8","1","1"
"2617","","singlestim-multislider","32","370273","0.0-9.0-25.0","","20381","1476727190858","1","41","60","","","0","12","9","7","5","0.8","0.8","0.8","1"
"2689","","singlestim-multislider","33","373274","0.0-9.0-32.0","","20381","1476727190858","1","40","60","","","1","12","9","7","5","NA","NA","NA","1"
"2594","","singlestim-multislider","34","376176","0.0-9.0-9.0","","20381","1476727190858","1","65","35","","","0","12","9","7","5","0.6","0.8","0.8","1"
"2471","","singlestim-multislider","35","378955","0.0-9.0-35.0","","20381","1476727190858","1","61","39","","","1","12","9","7","5","NA","NA","NA","1"
"1693","","singlestim-multislider","36","380970","0.0-9.0-3.0","","20381","1476727190858","1","67","33","","","0","12","9","7","5","0.6","0.6","0.8","1"
"2380","","singlestim-multislider","37","383659","0.0-9.0-23.0","","20381","1476727190858","1","36","65","","","0","12","9","7","5","0.8","0.6","1","1"
"2479","","singlestim-multislider","38","386457","0.0-9.0-19.0","","20381","1476727190858","1","38","62","","","0","12","9","7","5","0.8","0.6","0.8","1"
"2649","","singlestim-multislider","39","389427","0.0-9.0-24.0","","20381","1476727190858","1","31","69","","","0","12","9","7","5","0.8","0.8","0.8","1"
"5050","","singlestim-multislider","40","394783","0.0-9.0-21.0","","20381","1476727190858","1","48","52","","","0","12","9","7","5","0.8","0.6","1","1"
"3160","","singlestim-multislider","41","398250","0.0-9.0-39.0","","20381","1476727190858","1","58","42","","","1","12","9","7","5","NA","NA","NA","1"
"2548","","singlestim-multislider","42","401108","0.0-9.0-37.0","","20381","1476727190858","1","56","44","","","1","12","9","7","5","NA","NA","NA","1"
"3264","","singlestim-multislider","43","404683","0.0-9.0-7.0","","20381","1476727190858","1","63","37","","","0","12","9","7","5","0.6","0.6","1","1"
"6347","","singlestim-multislider","44","411346","0.0-9.0-33.0","","20381","1476727190858","1","69","32","","","1","12","9","7","5","NA","NA","NA","1"
"2451","","singlestim-multislider","45","414112","0.0-9.0-30.0","","20381","1476727190858","1","58","42","","","0","12","9","7","5","0.8","0.8","1","1"
"2351","","singlestim-multislider","46","416779","0.0-9.0-17.0","","20381","1476727190858","1","59","41","","","0","12","9","7","5","0.8","0.6","0.8","1"
"2480","","singlestim-multislider","47","419571","0.0-9.0-13.0","","20381","1476727190858","1","63","37","","","0","12","9","7","5","0.6","0.8","1","1"
"6209","","singlestim-multislider","48","426094","0.0-9.0-8.0","","20381","1476727190858","1","57","43","","","0","12","9","7","5","0.6","0.8","0.8","1"
"3442","","singlestim-multislider","49","429852","0.0-9.0-11.0","","20381","1476727190858","1","37","63","","","0","12","9","7","5","0.6","0.8","0.8","1"
"3180","","singlestim-multislider","50","433337","0.0-9.0-5.0","","20381","1476727190858","1","43","57","","","0","12","9","7","5","0.6","0.6","1","1"
"3180","","singlestim-multislider","51","436831","0.0-10.0-28.0","","20381","1476727190858","1","42","58","","","0","12","9","7","5","0.8","0.8","1","1"
