"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"6087","32","text","0","6089","0.0-0.0","","1476669745619","","","","","","","","","","","","","",""
"15007","32","text","1","21400","0.0-1.0","","1476669745619","","","","","","","","","","","","","",""
"1847","32","text","2","23548","0.0-2.0","","1476669745619","","","","","","","","","","","","","",""
"77272","32","text","3","101124","0.0-3.0","","1476669745619","","","","","","","","","","","","","",""
"3728","32","text","4","105155","0.0-4.0","","1476669745619","","","","","","","","","","","","","",""
"667","32","text","5","106122","0.0-5.0","","1476669745619","","","","","","","","","","","","","",""
"16188","","singlestim-multislider","6","122626","0.0-6.0-0.0","","1476669745619","0","61","39","","","","","","","","","","",""
"181106","","survey-text","7","304039","0.0-7.0","","1476669745619","","","","{""Q0"":""a""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"3361","","survey-multi-choice","8","307704","0.0-8.0","","1476669745619","","","","{""Q0"":""disagree""}","","","","","","","","","",""
"6933","","singlestim-multislider","9","314942","0.0-9.0-2.0","","1476669745619","0","61","39","","","0","12","9","7","5","0.6","0.6","0.8","1"
