"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"15288","32","text","0","15310","0.0-0.0","","19641","1478042155955","","","","","","","","","","","","","",""
"548479","32","text","1","564106","0.0-1.0","","19641","1478042155955","","","","","","","","","","","","","",""
"5646","32","text","2","570058","0.0-2.0","","19641","1478042155955","","","","","","","","","","","","","",""
"44731","32","text","3","615091","0.0-3.0","","19641","1478042155955","","","","","","","","","","","","","",""
"11298","32","text","4","626696","0.0-4.0","","19641","1478042155955","","","","","","","","","","","","","",""
"90718","32","text","5","717716","0.0-5.0","","19641","1478042155955","","","","","","","","","","","","","",""
"17049","","singlestim-multislider","6","735133","0.0-6.0-0.0","","19641","1478042155955","0","50","50","","","","","","","","","","",""
"77119","","survey-text","7","812571","0.0-7.0","","19641","1478042155955","","","","{""Q0"":""C, I believe that a computer would want to match people that answered more questions the same way. A professional may just do it based on the personalities and first impressions.""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"10733","","survey-multi-choice","8","823622","0.0-8.0","","19641","1478042155955","","","","{""Q0"":""agree""}","","","","","","","","","",""
"21679","","singlestim-multislider","9","845627","0.0-9.0-37.0","","19641","1478042155955","1","69","31","","","1","12","9","7","5","NA","NA","NA","1"
