"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"13510","32","text","0","13515","0.0-0.0","","22653","1476735495214","","","","","","","","","","","","","",""
"778632","32","text","1","792481","0.0-1.0","","22653","1476735495214","","","","","","","","","","","","","",""
"6878","32","text","2","799685","0.0-2.0","","22653","1476735495214","","","","","","","","","","","","","",""
"66246","32","text","3","866247","0.0-3.0","","22653","1476735495214","","","","","","","","","","","","","",""
"46016","32","text","4","912581","0.0-4.0","","22653","1476735495214","","","","","","","","","","","","","",""
"108490","32","text","5","1021397","0.0-5.0","","22653","1476735495214","","","","","","","","","","","","","",""
"179417","","singlestim-multislider","6","1201163","0.0-6.0-0.0","","22653","1476735495214","0","80","20","","","","","","","","","","",""
"73504","","survey-text","7","1274986","0.0-7.0","","22653","1476735495214","","","","{""Q0"":""B because the computer either matched people who had mostly similar responses or mostly opposite responses. Whereas the matchmaker focused his/her decisions based on the people's photographs.""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-image: none; border-spacing: 0px 1px;""><tr><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: italic; min-width: 10px;"">Single Person A</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td></tr><tr><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: italic; min-width: 10px;"">Single Person B</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"7480","","survey-multi-choice","8","1282793","0.0-8.0","","22653","1476735495214","","","","{""Q0"":""agree""}","","","","","","","","","",""
"117552","","singlestim-multislider","9","1400708","0.0-9.0-25.0","","22653","1476735495214","0","88","12","","","0","12","9","7","5","0.8","0.8","0.8","1"
"9599","","singlestim-multislider","10","1410642","0.0-9.0-39.0","","22653","1476735495214","1","24","76","","","1","12","9","7","5","NA","NA","NA","1"
"8067","","singlestim-multislider","11","1419053","0.0-9.0-28.0","","22653","1476735495214","1","10","90","","","0","12","9","7","5","0.8","0.8","1","1"
"9230","","singlestim-multislider","12","1428627","0.0-9.0-2.0","","22653","1476735495214","0","77","23","","","0","12","9","7","5","0.6","0.6","0.8","1"
"12183","","singlestim-multislider","13","1441142","0.0-9.0-26.0","","22653","1476735495214","1","7","93","","","0","12","9","7","5","0.8","0.8","0.8","1"
"22867","","singlestim-multislider","14","1464342","0.0-9.0-33.0","","22653","1476735495214","1","24","76","","","1","12","9","7","5","NA","NA","NA","1"
"22564","","singlestim-multislider","15","1487240","0.0-9.0-21.0","","22653","1476735495214","1","42","58","","","0","12","9","7","5","0.8","0.6","1","1"
"17503","","singlestim-multislider","16","1505079","0.0-9.0-34.0","","22653","1476735495214","1","43","57","","","1","12","9","7","5","NA","NA","NA","1"
"9346","","singlestim-multislider","17","1514755","0.0-9.0-7.0","","22653","1476735495214","0","95","5","","","0","12","9","7","5","0.6","0.6","1","1"
"11242","","singlestim-multislider","18","1526333","0.0-9.0-11.0","","22653","1476735495214","1","7","93","","","0","12","9","7","5","0.6","0.8","0.8","1"
"8627","","singlestim-multislider","19","1535300","0.0-9.0-40.0","","22653","1476735495214","0","91","9","","","1","12","9","7","5","NA","NA","NA","1"
"15988","","singlestim-multislider","20","1551628","0.0-9.0-16.0","","22653","1476735495214","0","89","11","","","0","12","9","7","5","0.8","0.6","0.8","1"
"11453","","singlestim-multislider","21","1563409","0.0-9.0-18.0","","22653","1476735495214","0","87","14","","","0","12","9","7","5","0.8","0.6","0.8","1"
"17360","","singlestim-multislider","22","1581103","0.0-9.0-17.0","","22653","1476735495214","0","54","46","","","0","12","9","7","5","0.8","0.6","0.8","1"
"7103","","singlestim-multislider","23","1588544","0.0-9.0-27.0","","22653","1476735495214","0","74","26","","","0","12","9","7","5","0.8","0.8","0.8","1"
"10324","","singlestim-multislider","24","1599196","0.0-9.0-10.0","","22653","1476735495214","0","79","21","","","0","12","9","7","5","0.6","0.8","0.8","1"
"7902","","singlestim-multislider","25","1607441","0.0-9.0-29.0","","22653","1476735495214","0","95","6","","","0","12","9","7","5","0.8","0.8","1","1"
"12040","","singlestim-multislider","26","1619809","0.0-9.0-15.0","","22653","1476735495214","1","3","97","","","0","12","9","7","5","0.6","0.8","1","1"
"17475","","singlestim-multislider","27","1637613","0.0-9.0-36.0","","22653","1476735495214","0","78","22","","","1","12","9","7","5","NA","NA","NA","1"
"6901","","singlestim-multislider","28","1644866","0.0-9.0-19.0","","22653","1476735495214","1","7","93","","","0","12","9","7","5","0.8","0.6","0.8","1"
"10886","","singlestim-multislider","29","1656091","0.0-9.0-38.0","","22653","1476735495214","0","87","13","","","1","12","9","7","5","NA","NA","NA","1"
"10702","","singlestim-multislider","30","1667121","0.0-9.0-4.0","","22653","1476735495214","1","9","91","","","0","12","9","7","5","0.6","0.6","1","1"
"10811","","singlestim-multislider","31","1678264","0.0-9.0-30.0","","22653","1476735495214","1","8","92","","","0","12","9","7","5","0.8","0.8","1","1"
"6553","","singlestim-multislider","32","1685158","0.0-9.0-9.0","","22653","1476735495214","0","90","11","","","0","12","9","7","5","0.6","0.8","0.8","1"
"11602","","singlestim-multislider","33","1697091","0.0-9.0-37.0","","22653","1476735495214","1","15","85","","","1","12","9","7","5","NA","NA","NA","1"
"25576","","singlestim-multislider","34","1722998","0.0-9.0-13.0","","22653","1476735495214","1","31","69","","","0","12","9","7","5","0.6","0.8","1","1"
"8570","","singlestim-multislider","35","1731912","0.0-9.0-5.0","","22653","1476735495214","0","80","20","","","0","12","9","7","5","0.6","0.6","1","1"
"7995","","singlestim-multislider","36","1740255","0.0-9.0-31.0","","22653","1476735495214","0","93","7","","","0","12","9","7","5","0.8","0.8","1","1"
"8069","","singlestim-multislider","37","1748653","0.0-9.0-23.0","","22653","1476735495214","1","11","89","","","0","12","9","7","5","0.8","0.6","1","1"
"306470","","singlestim-multislider","38","2055456","0.0-9.0-0.0","","22653","1476735495214","1","17","83","","","0","12","9","7","5","0.6","0.6","0.8","1"
"10992","","singlestim-multislider","39","2066792","0.0-9.0-22.0","","22653","1476735495214","0","89","11","","","0","12","9","7","5","0.8","0.6","1","1"
"6455","","singlestim-multislider","40","2073586","0.0-9.0-12.0","","22653","1476735495214","0","93","7","","","0","12","9","7","5","0.6","0.8","1","1"
"11298","","singlestim-multislider","41","2085211","0.0-9.0-1.0","","22653","1476735495214","0","84","16","","","0","12","9","7","5","0.6","0.6","0.8","1"
