"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"8304","32","text","0","8311","0.0-0.0","","21166","1477769576789","","","","","","","","","","","","","",""
"17555","32","text","1","26197","0.0-1.0","","21166","1477769576789","","","","","","","","","","","","","",""
"4564","32","text","2","31072","0.0-2.0","","21166","1477769576789","","","","","","","","","","","","","",""
"38624","32","text","3","70027","0.0-3.0","","21166","1477769576789","","","","","","","","","","","","","",""
"30688","32","text","4","101031","0.0-4.0","","21166","1477769576789","","","","","","","","","","","","","",""
"116718","32","text","5","218065","0.0-5.0","","21166","1477769576789","","","","","","","","","","","","","",""
"146751","","singlestim-multislider","6","365152","0.0-6.0-0.0","","21166","1477769576789","0","85","15","","","","","","","","","","",""
"46126","","survey-text","7","411593","0.0-7.0","","21166","1477769576789","","","","{""Q0"":""B, because the computer tends to match people with similar or opposite responses.""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-image: none; border-spacing: 0px 1px;""><tr><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: italic; min-width: 10px;"">Single Person A</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td></tr><tr><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: italic; min-width: 10px;"">Single Person B</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"5987","","survey-multi-choice","8","417912","0.0-8.0","","21166","1477769576789","","","","{""Q0"":""agree""}","","","","","","","","","",""
"128907","","singlestim-multislider","9","547168","0.0-9.0-34.0","","21166","1477769576789","0","50","50","","","1","12","9","7","5","NA","NA","NA","1"
