"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"4394","32","text","0","4399","0.0-0.0","","23647","1478213292693","","","","","","","","","","","","","",""
"2202","32","text","1","6903","0.0-1.0","","23647","1478213292693","","","","","","","","","","","","","",""
"713","32","text","2","7920","0.0-2.0","","23647","1478213292693","","","","","","","","","","","","","",""
"16861","32","text","3","25084","0.0-3.0","","23647","1478213292693","","","","","","","","","","","","","",""
"13669","32","text","4","39056","0.0-4.0","","23647","1478213292693","","","","","","","","","","","","","",""
"61493","32","text","5","100851","0.0-5.0","","23647","1478213292693","","","","","","","","","","","","","",""
"5611","","singlestim-multislider","6","106778","0.0-6.0-0.0","","23647","1478213292693","0","65","35","","","","","","","","","","",""
"16155","","survey-text","7","123236","0.0-7.0","","23647","1478213292693","","","","{""Q0"":""A""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"11638","","survey-multi-choice","8","135178","0.0-8.0","","23647","1478213292693","","","","{""Q0"":""agree""}","","","","","","","","","",""
"6988","","singlestim-multislider","9","142471","0.0-9.0-1.0","","23647","1478213292693","0","60","40","","","0","12","9","7","5","0.6","0.6","0.8","1"
