"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"14972","32","text","0","14981","0.0-0.0","","22378","1477860885799","","","","","","","","","","","","","",""
"5638","32","text","1","20928","0.0-1.0","","22378","1477860885799","","","","","","","","","","","","","",""
"1182","32","text","2","22412","0.0-2.0","","22378","1477860885799","","","","","","","","","","","","","",""
"37200","32","text","3","59914","0.0-3.0","","22378","1477860885799","","","","","","","","","","","","","",""
"40041","32","text","4","100260","0.0-4.0","","22378","1477860885799","","","","","","","","","","","","","",""
"51942","32","text","5","152505","0.0-5.0","","22378","1477860885799","","","","","","","","","","","","","",""
"37952","","singlestim-multislider","6","190791","0.0-6.0-0.0","","22378","1477860885799","0","15","85","","","","","","","","","","",""
"23345","","survey-text","7","214446","0.0-7.0","","22378","1477860885799","","","","{""Q0"":""b""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"11465","","survey-multi-choice","8","226221","0.0-8.0","","22378","1477860885799","","","","{""Q0"":""agree""}","","","","","","","","","",""
"18354","","singlestim-multislider","9","244890","0.0-9.0-0.0","","22378","1477860885799","0","76","24","","","0","12","9","7","5","0.6","0.6","0.8","1"
"12476","","singlestim-multislider","10","257681","0.0-9.0-41.0","","22378","1477860885799","0","62","38","","","1","12","9","7","5","NA","NA","NA","1"
"18526","","singlestim-multislider","11","276523","0.0-9.0-18.0","","22378","1477860885799","0","81","19","","","0","12","9","7","5","0.8","0.6","0.8","1"
"16380","","singlestim-multislider","12","293218","0.0-9.0-14.0","","22378","1477860885799","0","90","10","","","0","12","9","7","5","0.6","0.8","1","1"
"12770","","singlestim-multislider","13","306304","0.0-9.0-21.0","","22378","1477860885799","1","14","86","","","0","12","9","7","5","0.8","0.6","1","1"
