"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"69533","32","text","0","69540","0.0-0.0","","22060","1477929099072","","","","","","","","","","","","","",""
"50584","32","text","1","120450","0.0-1.0","","22060","1477929099072","","","","","","","","","","","","","",""
"5628","32","text","2","126383","0.0-2.0","","22060","1477929099072","","","","","","","","","","","","","",""
"18340","32","text","3","145031","0.0-3.0","","22060","1477929099072","","","","","","","","","","","","","",""
"24450","32","text","4","169791","0.0-4.0","","22060","1477929099072","","","","","","","","","","","","","",""
"48691","32","text","5","218797","0.0-5.0","","22060","1477929099072","","","","","","","","","","","","","",""
"59475","","singlestim-multislider","6","278622","0.0-6.0-0.0","","22060","1477929099072","0","70","30","","","","","","","","","","",""
"57395","","survey-text","7","336342","0.0-7.0","","22060","1477929099072","","","","{""Q0"":""B, they are not compatible so I would not believe that a human would match them together.""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"11452","","survey-multi-choice","8","348122","0.0-8.0","","22060","1477929099072","","","","{""Q0"":""disagree""}","","","","","","","","","",""
"44784","","singlestim-multislider","9","393226","0.0-9.0-13.0","","22060","1477929099072","0","30","70","","","0","12","9","7","5","0.6","0.8","1","1"
