"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"13628","32","text","0","13636","0.0-0.0","","19640","1478039221819","","","","","","","","","","","","","",""
"38487","32","text","1","52466","0.0-1.0","","19640","1478039221819","","","","","","","","","","","","","",""
"4852","32","text","2","57643","0.0-2.0","","19640","1478039221819","","","","","","","","","","","","","",""
"82436","32","text","3","140393","0.0-3.0","","19640","1478039221819","","","","","","","","","","","","","",""
"113843","32","text","4","254563","0.0-4.0","","19640","1478039221819","","","","","","","","","","","","","",""
"81669","32","text","5","336554","0.0-5.0","","19640","1478039221819","","","","","","","","","","","","","",""
"53958","","singlestim-multislider","6","390869","0.0-6.0-0.0","","19640","1478039221819","1","40","60","","","","","","","","","","",""
"116616","","survey-text","7","507814","0.0-7.0","","19640","1478039221819","","","","{""Q0"":""A because earlier it had said that some people are paired up by what they have in common, but some are paired because of what they disagree on.""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-image: none; border-spacing: 0px 1px;""><tr><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: italic; min-width: 10px;"">Single Person A</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td></tr><tr><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: italic; min-width: 10px;"">Single Person B</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">1</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td><td style=""padding: 0px 10px; border: 1px solid black; border-image: none; font-style: normal; min-width: 10px;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"6951","","survey-multi-choice","8","515086","0.0-8.0","","19640","1478039221819","","","","{""Q0"":""agree""}","","","","","","","","","",""
"74894","","singlestim-multislider","9","590357","0.0-9.0-6.0","","19640","1478039221819","1","25","75","","","0","12","9","7","5","0.6","0.6","1","1"
"14090","","singlestim-multislider","10","604800","0.0-9.0-11.0","","19640","1478039221819","0","82","18","","","0","12","9","7","5","0.6","0.8","0.8","1"
"41263","","singlestim-multislider","11","646405","0.0-9.0-36.0","","19640","1478039221819","0","40","60","","","1","12","9","7","5","NA","NA","NA","1"
"22636","","singlestim-multislider","12","669377","0.0-9.0-1.0","","19640","1478039221819","1","46","54","","","0","12","9","7","5","0.6","0.6","0.8","1"
"10610","","singlestim-multislider","13","680311","0.0-9.0-32.0","","19640","1478039221819","0","61","39","","","1","12","9","7","5","NA","NA","NA","1"
"19498","","singlestim-multislider","14","700133","0.0-9.0-41.0","","19640","1478039221819","1","34","66","","","1","12","9","7","5","NA","NA","NA","1"
"9113","","singlestim-multislider","15","709583","0.0-9.0-13.0","","19640","1478039221819","0","91","9","","","0","12","9","7","5","0.6","0.8","1","1"
"9091","","singlestim-multislider","16","718998","0.0-9.0-29.0","","19640","1478039221819","1","48","52","","","0","12","9","7","5","0.8","0.8","1","1"
"7661","","singlestim-multislider","17","726998","0.0-9.0-7.0","","19640","1478039221819","0","64","36","","","0","12","9","7","5","0.6","0.6","1","1"
"9968","","singlestim-multislider","18","737313","0.0-9.0-27.0","","19640","1478039221819","0","95","6","","","0","12","9","7","5","0.8","0.8","0.8","1"
"7106","","singlestim-multislider","19","744764","0.0-9.0-23.0","","19640","1478039221819","0","88","12","","","0","12","9","7","5","0.8","0.6","1","1"
"6089","","singlestim-multislider","20","751181","0.0-9.0-0.0","","19640","1478039221819","1","21","79","","","0","12","9","7","5","0.6","0.6","0.8","1"
