"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"19615","32","text","0","19618","0.0-0.0","","1476466327720","","","","","","","","","","","","","",""
"85130","32","text","1","105054","0.0-1.0","","1476466327720","","","","","","","","","","","","","",""
"5630","32","text","2","110986","0.0-2.0","","1476466327720","","","","","","","","","","","","","",""
"70245","32","text","3","181533","0.0-3.0","","1476466327720","","","","","","","","","","","","","",""
"25056","32","text","4","206892","0.0-4.0","","1476466327720","","","","","","","","","","","","","",""
"52966","32","text","5","260159","0.0-5.0","","1476466327720","","","","","","","","","","","","","",""
"30837","","singlestim-multislider","6","291311","0.0-6.0-0.0","","1476466327720","0","30","70","","","","","","","","","","",""
"65854","","survey-text","7","357470","0.0-7.0","","1476466327720","","","","{""Q0"":""B they don't match on a single one so the algorithm might have picked up on the opposites attract""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"67068","","survey-multi-choice","8","424844","0.0-8.0","","1476466327720","","","","{""Q0"":""agree""}","","","","","","","","","",""
"28855","","singlestim-multislider","9","454006","0.0-9.0-41.0","","1476466327720","0","29","71","","","1","12","9","7","5","NA","NA","NA","1"
