"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"24365","","singlestim-multislider","62","1191639","0.0-10.0-5.0","","1476640284074","0","90","10","","","0","12","9","7","5","0.6","0.6","1","1"
"15615","","singlestim-multislider","63","1207576","0.0-10.0-33.0","","1476640284074","1","10","90","","","1","12","9","7","5","NA","NA","NA","1"
"15074","","singlestim-multislider","64","1222983","0.0-10.0-1.0","","1476640284074","0","62","38","","","0","12","9","7","5","0.6","0.6","0.8","1"
"11123","","singlestim-multislider","65","1234449","0.0-10.0-26.0","","1476640284074","1","8","92","","","0","12","9","7","5","0.8","0.8","0.8","1"
"10429","","singlestim-multislider","66","1245213","0.0-10.0-9.0","","1476640284074","0","75","25","","","0","12","9","7","5","0.6","0.8","0.8","1"
"29485","","singlestim-multislider","67","1275019","0.0-10.0-6.0","","1476640284074","1","11","89","","","0","12","9","7","5","0.6","0.6","1","1"
"20398","","singlestim-multislider","68","1295748","0.0-10.0-30.0","","1476640284074","1","10","91","","","0","12","9","7","5","0.8","0.8","1","1"
"11699","","singlestim-multislider","69","1307779","0.0-10.0-32.0","","1476640284074","0","61","39","","","1","12","9","7","5","NA","NA","NA","1"
"12849","","singlestim-multislider","70","1320958","0.0-10.0-14.0","","1476640284074","1","41","59","","","0","12","9","7","5","0.6","0.8","1","1"
"11042","","singlestim-multislider","71","1332327","0.0-10.0-29.0","","1476640284074","0","91","9","","","0","12","9","7","5","0.8","0.8","1","1"
"16051","","singlestim-multislider","72","1348696","0.0-10.0-13.0","","1476640284074","0","74","26","","","0","12","9","7","5","0.6","0.8","1","1"
"24368","","singlestim-multislider","73","1373396","0.0-10.0-34.0","","1476640284074","1","41","60","","","1","12","9","7","5","NA","NA","NA","1"
"23424","","singlestim-multislider","74","1397176","0.0-10.0-38.0","","1476640284074","0","60","40","","","1","12","9","7","5","NA","NA","NA","1"
