"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","turkID","sonaID","ExpEndTime","lastInput","responseA","responseB","responses","questions","randomized","N","nA","nB","nAB","pA","pB","pAB","anchored"
"21978","32","text","0","21993","0.0-0.0","","20040","1479062453174","","","","","","","","","","","","","",""
"83338","32","text","1","105681","0.0-1.0","","20040","1479062453174","","","","","","","","","","","","","",""
"4849","32","text","2","110848","0.0-2.0","","20040","1479062453174","","","","","","","","","","","","","",""
"38118","32","text","3","149277","0.0-3.0","","20040","1479062453174","","","","","","","","","","","","","",""
"33915","32","text","4","183508","0.0-4.0","","20040","1479062453174","","","","","","","","","","","","","",""
"33631","32","text","5","217444","0.0-5.0","","20040","1479062453174","","","","","","","","","","","","","",""
"61392","","singlestim-multislider","6","279230","0.0-6.0-0.0","","20040","1479062453174","0","70","31","","","","","","","","","","",""
"47474","","survey-text","7","327025","0.0-7.0","","20040","1479062453174","","","","{""Q0"":""B because \""opposites attract\""""}","<b>INSTRUCTIONS</b> (5 of 6)<br>Consider the complete responses for these two people that were matched together below. They gave opposite answers almost every time!<br><br><table style=""border: 2px solid black; border-spacing: 0px 1px;""><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person A</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td></tr><tr><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: italic;"">Single Person B</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">1</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td><td style=""border: 1px solid black; padding: 0px 10px; min-width: 10px; font-style: normal;"">0</td></tr></table><br>According to what you just read, were these people more likely to have been matched by the computer algorithm or the professional matchmaker?<br><br> A) equally likey <br> B) computer algorithm <br> C) professional matchmaker <br><br> Please enter A, B, or C below and briefly explain your choice:","","","","","","","","",""
"6405","","survey-multi-choice","8","333764","0.0-8.0","","20040","1479062453174","","","","{""Q0"":""agree""}","","","","","","","","","",""
"41946","","singlestim-multislider","9","376050","0.0-9.0-18.0","","20040","1479062453174","0","75","26","","","0","12","9","7","5","0.8","0.6","0.8","1"
"14172","","singlestim-multislider","10","390568","0.0-9.0-21.0","","20040","1479062453174","1","26","75","","","0","12","9","7","5","0.8","0.6","1","1"
"12014","","singlestim-multislider","11","402929","0.0-9.0-5.0","","20040","1479062453174","0","80","21","","","0","12","9","7","5","0.6","0.6","1","1"
"13545","","singlestim-multislider","12","416820","0.0-9.0-24.0","","20040","1479062453174","1","20","80","","","0","12","9","7","5","0.8","0.8","0.8","1"
"9359","","singlestim-multislider","13","426532","0.0-9.0-19.0","","20040","1479062453174","1","20","80","","","0","12","9","7","5","0.8","0.6","0.8","1"
"23413","","singlestim-multislider","14","450287","0.0-9.0-25.0","","20040","1479062453174","0","77","23","","","0","12","9","7","5","0.8","0.8","0.8","1"
"9647","","singlestim-multislider","15","460277","0.0-9.0-13.0","","20040","1479062453174","1","20","80","","","0","12","9","7","5","0.6","0.8","1","1"
"11578","","singlestim-multislider","16","472184","0.0-9.0-41.0","","20040","1479062453174","","50","50","","","1","12","9","7","5","NA","NA","NA","1"
"9962","","singlestim-multislider","17","482473","0.0-9.0-29.0","","20040","1479062453174","0","81","19","","","0","12","9","7","5","0.8","0.8","1","1"
"8293","","singlestim-multislider","18","491105","0.0-9.0-3.0","","20040","1479062453174","1","17","83","","","0","12","9","7","5","0.6","0.6","0.8","1"
"6997","","singlestim-multislider","19","498434","0.0-9.0-37.0","","20040","1479062453174","1","50","50","","","1","12","9","7","5","NA","NA","NA","1"
"7461","","singlestim-multislider","20","506230","0.0-9.0-11.0","","20040","1479062453174","1","23","77","","","0","12","9","7","5","0.6","0.8","0.8","1"
"9861","","singlestim-multislider","21","516419","0.0-9.0-4.0","","20040","1479062453174","1","10","90","","","0","12","9","7","5","0.6","0.6","1","1"
"9111","","singlestim-multislider","22","525869","0.0-9.0-28.0","","20040","1479062453174","1","13","88","","","0","12","9","7","5","0.8","0.8","1","1"
"9959","","singlestim-multislider","23","536160","0.0-9.0-17.0","","20040","1479062453174","0","70","30","","","0","12","9","7","5","0.8","0.6","0.8","1"
"11117","","singlestim-multislider","24","547617","0.0-9.0-16.0","","20040","1479062453174","0","72","28","","","0","12","9","7","5","0.8","0.6","0.8","1"
"10501","","singlestim-multislider","25","558458","0.0-9.0-7.0","","20040","1479062453174","0","87","13","","","0","12","9","7","5","0.6","0.6","1","1"
"10126","","singlestim-multislider","26","568923","0.0-9.0-39.0","","20040","1479062453174","0","82","18","","","1","12","9","7","5","NA","NA","NA","1"
"9715","","singlestim-multislider","27","578975","0.0-9.0-15.0","","20040","1479062453174","1","9","91","","","0","12","9","7","5","0.6","0.8","1","1"
"8514","","singlestim-multislider","28","587822","0.0-9.0-1.0","","20040","1479062453174","1","35","65","","","0","12","9","7","5","0.6","0.6","0.8","1"
"7150","","singlestim-multislider","29","595302","0.0-9.0-8.0","","20040","1479062453174","0","73","27","","","0","12","9","7","5","0.6","0.8","0.8","1"
"8697","","singlestim-multislider","30","604338","0.0-9.0-34.0","","20040","1479062453174","","50","50","","","1","12","9","7","5","NA","NA","NA","1"
"6256","","singlestim-multislider","31","610927","0.0-9.0-35.0","","20040","1479062453174","","50","50","","","1","12","9","7","5","NA","NA","NA","1"
"7339","","singlestim-multislider","32","618609","0.0-9.0-20.0","","20040","1479062453174","0","83","17","","","0","12","9","7","5","0.8","0.6","1","1"
"7102","","singlestim-multislider","33","626040","0.0-9.0-22.0","","20040","1479062453174","0","83","17","","","0","12","9","7","5","0.8","0.6","1","1"
"5343","","singlestim-multislider","34","631714","0.0-9.0-12.0","","20040","1479062453174","0","88","13","","","0","12","9","7","5","0.6","0.8","1","1"
"6109","","singlestim-multislider","35","638153","0.0-9.0-23.0","","20040","1479062453174","1","16","85","","","0","12","9","7","5","0.8","0.6","1","1"
"9148","","singlestim-multislider","36","647629","0.0-9.0-26.0","","20040","1479062453174","1","26","74","","","0","12","9","7","5","0.8","0.8","0.8","1"
"5625","","singlestim-multislider","37","653592","0.0-9.0-31.0","","20040","1479062453174","0","83","17","","","0","12","9","7","5","0.8","0.8","1","1"
"13366","","singlestim-multislider","38","667285","0.0-9.0-30.0","","20040","1479062453174","1","21","79","","","0","12","9","7","5","0.8","0.8","1","1"
"13656","","singlestim-multislider","39","681280","0.0-9.0-6.0","","20040","1479062453174","1","18","82","","","0","12","9","7","5","0.6","0.6","1","1"
"9987","","singlestim-multislider","40","691609","0.0-9.0-9.0","","20040","1479062453174","1","10","90","","","0","12","9","7","5","0.6","0.8","0.8","1"
"16992","","singlestim-multislider","41","708939","0.0-9.0-10.0","","20040","1479062453174","0","80","21","","","0","12","9","7","5","0.6","0.8","0.8","1"
"20141","","singlestim-multislider","42","729423","0.0-9.0-38.0","","20040","1479062453174","0","51","49","","","1","12","9","7","5","NA","NA","NA","1"
"37805","","singlestim-multislider","43","767564","0.0-9.0-40.0","","20040","1479062453174","","50","50","","","1","12","9","7","5","NA","NA","NA","1"
"52364","","singlestim-multislider","44","820245","0.0-9.0-33.0","","20040","1479062453174","1","15","85","","","1","12","9","7","5","NA","NA","NA","1"
"11196","","singlestim-multislider","45","831752","0.0-9.0-2.0","","20040","1479062453174","0","73","27","","","0","12","9","7","5","0.6","0.6","0.8","1"
"9964","","singlestim-multislider","46","842029","0.0-9.0-27.0","","20040","1479062453174","0","71","29","","","0","12","9","7","5","0.8","0.8","0.8","1"
"12577","","singlestim-multislider","47","854922","0.0-9.0-0.0","","20040","1479062453174","0","77","23","","","0","12","9","7","5","0.6","0.6","0.8","1"
"6489","","singlestim-multislider","48","861722","0.0-9.0-14.0","","20040","1479062453174","0","87","13","","","0","12","9","7","5","0.6","0.8","1","1"
"20601","","singlestim-multislider","49","882631","0.0-9.0-32.0","","20040","1479062453174","1","37","63","","","1","12","9","7","5","NA","NA","NA","1"
"14473","","singlestim-multislider","50","897417","0.0-9.0-36.0","","20040","1479062453174","0","77","23","","","1","12","9","7","5","NA","NA","NA","1"
"6022","","singlestim-multislider","51","903755","0.0-10.0-12.0","","20040","1479062453174","0","82","18","","","0","12","9","7","5","0.6","0.8","1","1"
"10695","","singlestim-multislider","52","914763","0.0-10.0-25.0","","20040","1479062453174","0","80","20","","","0","12","9","7","5","0.8","0.8","0.8","1"
"24641","","singlestim-multislider","53","939718","0.0-10.0-8.0","","20040","1479062453174","0","72","28","","","0","12","9","7","5","0.6","0.8","0.8","1"
"11838","","singlestim-multislider","54","951868","0.0-10.0-30.0","","20040","1479062453174","1","20","80","","","0","12","9","7","5","0.8","0.8","1","1"
"11481","","singlestim-multislider","55","963665","0.0-10.0-5.0","","20040","1479062453174","0","85","16","","","0","12","9","7","5","0.6","0.6","1","1"
"8000","","singlestim-multislider","56","971972","0.0-10.0-6.0","","20040","1479062453174","1","14","86","","","0","12","9","7","5","0.6","0.6","1","1"
"9065","","singlestim-multislider","57","981358","0.0-10.0-11.0","","20040","1479062453174","1","22","78","","","0","12","9","7","5","0.6","0.8","0.8","1"
"8779","","singlestim-multislider","58","990458","0.0-10.0-23.0","","20040","1479062453174","1","13","87","","","0","12","9","7","5","0.8","0.6","1","1"
"12189","","singlestim-multislider","59","1002957","0.0-10.0-17.0","","20040","1479062453174","1","28","72","","","0","12","9","7","5","0.8","0.6","0.8","1"
